num_iterations,measured_var,learning_strategy,num_mutants_per_round,embedding_type,regression_type,first_round_strategy,first_median_fitness_scaled,first_top_fitness_scaled,first_fitness_binary_percentage,last_top_fitness_scaled,last_median_fitness_scaled,last_fitness_binary_percentage,change_median_fitness_scaled,change_top_fitness_scaled,change_fitness_binary_percentage
2,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.6436743646462103,0.40342114166253146,0.0784313725490196,0.0,0.0,0.0
2,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.6497215259011446,0.4539562172266625,0.0,0.0,0.0,0.0
2,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.6650585758218932,0.2472799795782049,0.058823529411764705,0.0,0.0,0.0
3,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.7515139331906787,0.4262763209196973,0.1568627450980392,0.022855179257165847,0.10783956854446841,0.0784313725490196
3,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.7713786590794056,0.5819049768692052,0.0588235294117647,0.12794875964254265,0.12165713317826099,0.0588235294117647
3,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.6650585758218932,0.350168427601349,0.058823529411764705,0.10288844802314406,0.0,0.0
4,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.7515139331906787,0.49708460029925017,0.25490196078431376,0.09366345863671871,0.10783956854446841,0.17647058823529416
4,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.7713786590794056,0.5965651196585402,0.1176470588235294,0.14260890243187768,0.12165713317826099,0.1176470588235294
4,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.6650585758218932,0.3860464007350606,0.058823529411764705,0.13876642115685567,0.0,0.0
5,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.8850346268891865,0.5675158621462438,0.4313725490196078,0.16409472048371238,0.24136026224297624,0.3529411764705882
5,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.7713786590794056,0.5965651196585402,0.1176470588235294,0.14260890243187768,0.12165713317826099,0.1176470588235294
5,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.6650585758218932,0.4554477787514621,0.058823529411764705,0.20816779917325717,0.0,0.0
6,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.8850346268891865,0.5486374658079954,0.5294117647058824,0.14521632414546398,0.24136026224297624,0.45098039215686275
6,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.9646434320732554,0.6841091108182825,0.6470588235294118,0.23015289359162,0.3149219061721108,0.6470588235294118
6,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.6650585758218932,0.4843829211878103,0.058823529411764705,0.23710294160960538,0.0,0.0
7,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.8850346268891865,0.6315871927251188,0.5686274509803922,0.2281660510625873,0.24136026224297624,0.49019607843137264
7,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.9646434320732554,0.6841091108182825,0.6470588235294118,0.23015289359162,0.3149219061721108,0.6470588235294118
7,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.6650585758218932,0.5143719622535596,0.058823529411764705,0.2670919826753547,0.0,0.0
8,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.8850346268891865,0.6321504453023588,0.5490196078431372,0.2287293036398273,0.24136026224297624,0.4705882352941176
8,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.9646434320732554,0.707567605924608,0.7647058823529411,0.2536113886979455,0.3149219061721108,0.7647058823529411
8,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.93987260348736,0.5897946307941253,0.17647058823529413,0.3425146512159204,0.2748140276654668,0.11764705882352942
9,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.8934536871439146,0.651615822013255,0.5882352941176471,0.2481946803507235,0.2497793224977043,0.5098039215686274
9,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.9646434320732554,0.707567605924608,0.7647058823529411,0.2536113886979455,0.3149219061721108,0.7647058823529411
9,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.93987260348736,0.6015944414311272,0.17647058823529413,0.35431446185292226,0.2748140276654668,0.11764705882352942
10,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.9674111492658906,0.6655997627465656,0.7450980392156863,0.26217862108403417,0.32373678461968025,0.6666666666666667
10,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.9646434320732554,0.707567605924608,0.7647058823529411,0.2536113886979455,0.3149219061721108,0.7647058823529411
10,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.93987260348736,0.6330246414809491,0.35294117647058826,0.38574466190274415,0.2748140276654668,0.29411764705882354
11,fitness,top10,16,embeddings,randomforest,random,0.40342114166253146,0.6436743646462103,0.0784313725490196,0.9717587616677804,0.7091718004241362,0.7647058823529411,0.30575065876160473,0.3280843970215701,0.6862745098039216
11,fitness,top10,16,embeddings,randomforest,diverse_medoids,0.4539562172266625,0.6497215259011446,0.0,0.9646434320732554,0.7427710457073274,0.8823529411764706,0.2888148284806649,0.3149219061721108,0.8823529411764706
11,fitness,top10,16,embeddings,randomforest,representative_hie,0.2472799795782049,0.6650585758218932,0.058823529411764705,0.93987260348736,0.6661845036008488,0.6470588235294118,0.4189045240226439,0.2748140276654668,0.5882352941176471
