,num_mutants_per_round,round_num,spearman_corr_mean,spearman_corr_std,dataset
0,16,1,0.06449159383973144,0.04611575809562484,cov2_S
1,16,2,0.132252629787209,0.051637516358374935,cov2_S
2,16,3,0.1590388870087827,0.0800150594553832,cov2_S
3,16,4,0.13258015458739855,0.05914162811394355,cov2_S
4,16,5,0.15471107081253113,0.03729636505731459,cov2_S
5,16,6,0.1865015658547917,0.05545241706246195,cov2_S
6,16,7,0.21625914910370647,0.043928033912865275,cov2_S
7,16,8,0.2015048129352525,0.052156495126339485,cov2_S
8,16,9,0.2350789326425297,0.05144553805313113,cov2_S
9,16,10,0.20333936263751484,0.05368961025884703,cov2_S
0,16,1,0.13385833857435908,0.039750261929377764,cas12f
1,16,2,0.14834826929280648,0.02962096973647638,cas12f
2,16,3,0.15225959759139743,0.045047238913885644,cas12f
3,16,4,0.17230565301048167,0.03621495130432593,cas12f
4,16,5,0.17449836018152448,0.05688004026236922,cas12f
5,16,6,0.16900647985589362,0.0558154212383075,cas12f
6,16,7,0.1944046549595305,0.02983231464568589,cas12f
7,16,8,0.19293134071775425,0.027559687516791078,cas12f
8,16,9,0.19436165146791717,0.02870295810576435,cas12f
9,16,10,0.19920671843276602,0.020234298486473713,cas12f
0,16,1,0.1075449815345286,0.05976346612439396,zikv_E
1,16,2,0.037591967279127905,0.0718204798345837,zikv_E
2,16,3,0.07551230463703865,0.03897474677657981,zikv_E
3,16,4,0.060744193426118566,0.03790375819284408,zikv_E
4,16,5,0.051717148269736425,0.0483355384485103,zikv_E
5,16,6,0.04504155688857785,0.0393535886049837,zikv_E
6,16,7,0.07516793217933579,0.05392901372710204,zikv_E
7,16,8,0.05923278802643637,0.04244120383913383,zikv_E
8,16,9,0.07897505488631826,0.03818956058944639,zikv_E
9,16,10,0.08166616455126383,0.03406398816257776,zikv_E
0,16,1,0.24299191442886597,0.15063124805494066,kelsic
1,16,2,0.3282710212020379,0.06110676131235082,kelsic
2,16,3,0.33981698513451064,0.09055809494392397,kelsic
3,16,4,0.3784598276866587,0.07355032486684714,kelsic
4,16,5,0.3793825381181172,0.08888966105463926,kelsic
5,16,6,0.38482196711799715,0.05518152935861187,kelsic
6,16,7,0.3993220018556304,0.06159750647027626,kelsic
7,16,8,0.39346051493921724,0.06747596089029023,kelsic
8,16,9,0.40231046304772305,0.06294684908999594,kelsic
9,16,10,0.4348442896579529,0.045004080577503935,kelsic
0,16,1,0.02359299209095399,0.028246312893241754,brenan
1,16,2,0.030345885601328122,0.04588364106651538,brenan
2,16,3,0.041678935609760145,0.03238432773425415,brenan
3,16,4,0.03815314286293646,0.03720087979994281,brenan
4,16,5,0.04991251967977749,0.0410229806481181,brenan
5,16,6,0.06173363004297107,0.030902004628589604,brenan
6,16,7,0.06566140318584253,0.028263164726771546,brenan
7,16,8,0.07399736842628031,0.016977168002886563,brenan
8,16,9,0.07975185228504025,0.015364075937213237,brenan
9,16,10,0.08599519533021932,0.024444622021347784,brenan
0,16,1,0.3630251336039712,0.14294390534798004,stiffler
1,16,2,0.4138958996153045,0.12972273827527597,stiffler
2,16,3,0.43029957183997125,0.10946562712591915,stiffler
3,16,4,0.42881769984670404,0.12485048318377993,stiffler
4,16,5,0.43895246301829377,0.11450967060625204,stiffler
5,16,6,0.45532530452507763,0.09063058938399261,stiffler
6,16,7,0.4586427548465945,0.09536872467514815,stiffler
7,16,8,0.46448114859211265,0.08153397506208171,stiffler
8,16,9,0.47134003191359275,0.06726487598363297,stiffler
9,16,10,0.48064203704228187,0.056052665044683245,stiffler
0,16,1,0.10607894959034943,0.050963455758596246,markin
1,16,2,0.15129547230990292,0.08543593465900921,markin
2,16,3,0.16394457081688313,0.04890004919926933,markin
3,16,4,0.20120827861956464,0.05362621186581591,markin
4,16,5,0.20249312563662328,0.03228509497731184,markin
5,16,6,0.2452194387359683,0.02472205740314787,markin
6,16,7,0.2695009388175696,0.032248256586227736,markin
7,16,8,0.28398391373820964,0.027869409673471162,markin
8,16,9,0.2986506895292671,0.035795200122237164,markin
9,16,10,0.3136284606055362,0.02458745202475046,markin
0,16,1,0.18785562139460127,0.07773778636845328,giacomelli
1,16,2,0.24792720958417727,0.054319810792520073,giacomelli
2,16,3,0.2616858633324185,0.04144251495859439,giacomelli
3,16,4,0.26430004285933784,0.05833154999013801,giacomelli
4,16,5,0.2828867280788907,0.06183669054042023,giacomelli
5,16,6,0.2907834239418793,0.03788267986573187,giacomelli
6,16,7,0.2955924862306116,0.03727764082386166,giacomelli
7,16,8,0.2928462038665526,0.03466985253023764,giacomelli
8,16,9,0.3033697155422975,0.03852396056431055,giacomelli
9,16,10,0.3148129096597939,0.042513425089472284,giacomelli
0,16,1,0.0946307893974109,0.06859807317972619,jones
1,16,2,0.12508232665765215,0.08904950977306106,jones
2,16,3,0.09454719560146856,0.07688243621353405,jones
3,16,4,0.10008072328560332,0.08797191794593572,jones
4,16,5,0.11263828982235591,0.054992708685158605,jones
5,16,6,0.1044667448314212,0.06860208816225037,jones
6,16,7,0.09576585543032937,0.10175240766799908,jones
7,16,8,0.13151571287324157,0.07606769957828868,jones
8,16,9,0.12723932635425986,0.06220636054269237,jones
9,16,10,0.12803869489013175,0.06859231107282833,jones
0,16,1,-0.050301028249129257,0.09308118978803852,haddox
1,16,2,-0.006792224873408541,0.09365484248307515,haddox
2,16,3,-0.020651441586497128,0.04657800831229832,haddox
3,16,4,-0.011977135851922132,0.07195945924631797,haddox
4,16,5,0.014330487615649751,0.06009138707390239,haddox
5,16,6,0.0050794946366427285,0.07543979766885565,haddox
6,16,7,0.05301436753483624,0.05826665479332616,haddox
7,16,8,0.04532019495270924,0.07178820689443156,haddox
8,16,9,0.059868618039930946,0.08528116918499756,haddox
9,16,10,0.04308983742984634,0.07741533085064009,haddox
0,16,1,0.08368196493342697,0.05580057915517935,doud
1,16,2,0.08294791979633999,0.06940568705830484,doud
2,16,3,0.09371557193053812,0.03993145726936014,doud
3,16,4,0.1020409536677368,0.047408930148321496,doud
4,16,5,0.11150949964556807,0.059179683041024014,doud
5,16,6,0.11084648078096113,0.04490981569787863,doud
6,16,7,0.12303695877700574,0.0408229333840857,doud
7,16,8,0.12241547078326795,0.057244639333893385,doud
8,16,9,0.12909487973689274,0.0471277246454851,doud
9,16,10,0.11880723906953909,0.032416103198611865,doud
0,16,1,0.05123796979064009,0.07687424302034854,lee
1,16,2,0.03381431968222201,0.048809263805892504,lee
2,16,3,0.017352576253371534,0.05670816286889006,lee
3,16,4,0.001191251728404829,0.03949612550853618,lee
4,16,5,0.006584518816749141,0.054618872772932314,lee
5,16,6,0.02182696581681596,0.04698743819736557,lee
6,16,7,0.035351728764503286,0.04472152841132234,lee
7,16,8,0.04681474094449532,0.04195537432881878,lee
8,16,9,0.04186417974455911,0.053121313311142025,lee
9,16,10,0.054071064776400425,0.04709678691971146,lee
